"filename", "language", "C++", "comment", "blank", "total"
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Camera.cpp", "C++", 6, 1, 2, 9
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Camera.h", "C++", 2, 0, 1, 3
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Mesh.cpp", "C++", -6, 7, -1, 0
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Mesh.h", "C++", -9, 11, -1, 1
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Program.cpp", "C++", 6, 0, 0, 6
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Renderer.cpp", "C++", 6, 0, 1, 7
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Renderer.h", "C++", 1, 0, 1, 2
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Surface.cpp", "C++", 38, 0, 24, 62
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Surface.h", "C++", 19, 0, 15, 34
"Total", "-", 63, 19, 42, 124
