"filename", "language", "C++", "comment", "blank", "total"
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Factory.cpp", "C++", 28, 0, 16, 44
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Factory.h", "C++", 21, 0, 13, 34
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Gui.cpp", "C++", -12, 0, -2, -14
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Gui.h", "C++", 89, 0, 37, 126
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Mesh.cpp", "C++", 9, -8, 5, 6
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Mesh.h", "C++", 1, 0, 0, 1
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Surface.cpp", "C++", 17, 0, 5, 22
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Surface.h", "C++", 7, -1, 3, 9
"Total", "-", 160, -9, 77, 228
